imdbID,Vote_Average,Vote_Count
tt1502712,4.413,5504
tt1133985,5.16,6614
tt1815862,5.192,6058
tt1628841,5.27,5528
tt1606378,5.304,5830
tt1289401,5.371,5815
tt2094766,5.424,7163
tt1617661,5.425,6199
tt0259324,5.5,5284
tt2345759,5.503,6554
tt0286716,5.526,5207
tt0486576,5.587,7163
tt1583421,5.591,5083
tt1959490,5.648,5702
tt2120120,5.707,6837
tt1700841,5.733,6581
tt3322940,5.747,5563
tt0120667,5.774,8519
tt1190080,5.81,11039
tt5814060,5.849,5688
tt0800320,5.864,5706
tt0146316,5.869,5547
tt2322441,5.887,10857
tt1291150,5.894,6204
tt2109248,5.898,7229
tt1623205,5.899,6122
tt0918940,5.9,5796
tt1340138,5.904,7612
tt1386697,5.908,19702
tt2304933,5.934,5347
tt2975590,5.943,16688
tt1735898,5.972,7352
tt6565702,5.999,5722
tt0438488,6,5805
tt0367882,6,7205
tt1259571,6.008,8393
tt1428538,6.019,6181
tt0307453,6.026,5746
tt1077368,6.034,6593
tt3062096,6.052,5765
tt3371366,6.053,5450
tt1216475,6.055,6849
tt1219827,6.064,7401
tt2316204,6.074,7572
tt1210819,6.09,5421
tt1253863,6.092,5903
tt2935510,6.097,5925
tt1469304,6.098,7347
tt0181852,6.1,5851
tt3410834,6.1,6097
tt0974015,6.105,11967
tt0120755,6.109,5730
tt0163025,6.121,6359
tt1078912,6.126,6234
tt1293847,6.131,8372
tt0489099,6.138,5155
tt1055369,6.155,7618
tt1645170,6.164,5225
tt1399103,6.169,7461
tt2004420,6.176,6433
tt2788710,6.178,5209
tt2692250,6.197,5339
tt0800080,6.202,10624
tt0814255,6.203,6779
tt2126355,6.207,7599
tt1324999,6.208,8042
tt1194173,6.209,5177
tt4779682,6.211,6353
tt1320253,6.214,6975
tt1951261,6.216,7854
tt1325004,6.221,8022
tt1245492,6.222,5757
tt2446042,6.229,5192
tt1964418,6.247,6446
tt0458525,6.25,9508
tt2184339,6.255,7638
tt0473075,6.255,6179
tt0389860,6.261,6298
tt2709768,6.261,7500
tt0401729,6.268,5064
tt0831387,6.273,8119
tt2637276,6.279,6671
tt0413267,6.284,8031
tt1099212,6.292,12324
tt0830515,6.31,7079
tt1764651,6.312,6089
tt4196776,6.319,5197
tt0175142,6.323,6109
tt0338526,6.323,5227
tt1397280,6.332,6021
tt0892791,6.335,6496
tt0209163,6.338,6229
tt0448157,6.342,8678
tt1667889,6.349,6832
tt1365519,6.351,7121
tt0120912,6.355,8936
tt0803096,6.356,6158
tt1375670,6.357,5368
tt2302755,6.382,6039
tt0413300,6.384,12613
tt2527338,6.389,8624
tt0829150,6.39,5547
tt1430132,6.391,8726
tt2293640,6.394,9776
tt1637725,6.396,11218
tt2798920,6.396,7738
tt2406566,6.398,5713
tt1489889,6.399,5273
tt2872732,6.4,14811
tt2908446,6.4,9316
tt0405422,6.4,6001
tt1650554,6.401,5648
tt0376994,6.405,8712
tt2404435,6.407,5390
tt5442430,6.42,6602
tt0980970,6.423,5034
tt0463985,6.429,5887
tt3631112,6.434,5286
tt1588173,6.436,5630
tt2231461,6.439,6285
tt1104001,6.442,6423
tt3469046,6.449,6394
tt3874544,6.453,6521
tt1411697,6.462,9496
tt0322259,6.468,6472
tt1673434,6.472,8166
tt0479952,6.475,6163
tt0397892,6.482,5383
tt1872181,6.487,11902
tt0407304,6.493,7440
tt1535108,6.493,7997
tt4465564,6.499,7130
tt1298650,6.5,12768
tt7126948,6.5,7536
tt1409024,6.501,9386
tt0493464,6.501,6370
tt0319262,6.501,7165
tt3731562,6.511,9452
tt3385516,6.516,11916
tt2321549,6.519,5452
tt1446714,6.52,10910
tt1155076,6.523,5373
tt0120915,6.526,13105
tt0119567,6.526,7458
tt2379713,6.527,9640
tt2873282,6.532,5459
tt1972591,6.534,5192
tt0109040,6.543,5111
tt1981115,6.548,15922
tt4881806,6.548,10085
tt0121765,6.548,11893
tt0386588,6.548,5193
tt2567026,6.55,5861
tt0163651,6.555,6905
tt0349903,6.56,6488
tt3235888,6.561,5706
tt1499658,6.561,5776
tt3778644,6.563,7639
tt0477347,6.569,9241
tt1731141,6.586,5271
tt0790724,6.589,6252
tt1277953,6.596,5491
tt0337978,6.597,5189
tt10648342,6.598,5776
tt5140878,6.598,5084
tt1259521,6.599,7047
tt0109686,6.599,5423
tt1790809,6.6,10856
tt0298130,6.6,5482
tt0368891,6.6,5652
tt0120804,6.601,5604
tt0844471,6.602,5276
tt0770828,6.603,13930
tt1483013,6.611,9768
tt0499448,6.612,5727
tt1014759,6.619,12822
tt0942385,6.619,5376
tt2239822,6.629,6774
tt1598778,6.635,5490
tt5308322,6.639,5563
tt1632708,6.655,7228
tt1068680,6.655,6137
tt0167190,6.657,6201
tt2975578,6.66,5883
tt1013752,6.666,6414
tt0212338,6.667,5341
tt3741700,6.672,5282
tt0356910,6.673,9262
tt1564367,6.674,5083
tt6823368,6.679,7509
tt0369610,6.679,18978
tt0438097,6.682,8823
tt0948470,6.684,15901
tt0808151,6.695,6202
tt0315327,6.699,9737
tt0104431,6.7,8410
tt1060277,6.7,6313
tt1092026,6.701,5114
tt1245526,6.702,6038
tt0242653,6.704,8786
tt4477536,6.705,7321
tt0338348,6.707,5504
tt0317919,6.708,5818
tt3402236,6.708,8966
tt4701182,6.711,5378
tt0496806,6.712,5664
tt1436562,6.715,5977
tt0382625,6.719,8414
tt1080016,6.724,7421
tt4046784,6.725,9416
tt0170016,6.744,6514
tt0120611,6.752,5229
tt1650062,6.755,6046
tt0418279,6.761,10042
tt0800369,6.768,19509
tt2660888,6.776,6049
tt1823672,6.777,7255
tt1037705,6.777,5470
tt0112442,6.784,5572
tt2510894,6.787,5180
tt1661199,6.799,6518
tt0320691,6.799,5538
tt1951265,6.801,14317
tt0816711,6.802,13978
tt1723121,6.806,8051
tt1907668,6.807,5414
tt1935859,6.808,9160
tt1192628,6.81,5761
tt1905041,6.812,9738
tt1282140,6.815,6325
tt1636826,6.817,5606
tt2283362,6.824,12433
tt0120591,6.824,7083
tt3079380,6.824,5513
tt3110958,6.825,9898
tt1270797,6.83,14313
tt0343660,6.83,6480
tt1228705,6.834,19179
tt2527336,6.838,13900
tt0117705,6.84,5432
tt2294449,6.843,7264
tt1800241,6.844,6654
tt2704998,6.845,5190
tt3606752,6.85,5023
tt3040964,6.856,7468
tt0360717,6.858,7068
tt0116629,6.862,8586
tt4154664,6.863,14167
tt6806448,6.864,6275
tt7349950,6.864,7646
tt1663662,6.865,11239
tt2267968,6.865,5119
tt1232829,6.871,9376
tt1371111,6.872,6483
tt2316411,6.872,5202
tt7097896,6.873,8706
tt2381941,6.882,7098
tt0351283,6.884,9790
tt1959563,6.884,5551
tt4123430,6.886,9952
tt1951266,6.888,11222
tt4630562,6.891,9415
tt0120616,6.894,8038
tt1477834,6.898,12542
tt1706620,6.898,8638
tt1276104,6.9,9348
tt0103776,6.901,5732
tt4263482,6.909,6139
tt0481499,6.91,6410
tt1690953,6.913,10281
tt0317219,6.916,12499
tt0099423,6.917,5074
tt1840309,6.92,11861
tt0110475,6.926,9050
tt1300854,6.927,20551
tt1355644,6.929,12105
tt0343818,6.931,10611
tt1591095,6.936,5960
tt0114148,6.936,5142
tt0213149,6.938,5719
tt7975244,6.941,7611
tt0232500,6.941,8805
tt1302011,6.945,6124
tt1001526,6.947,6083
tt1637688,6.952,10210
tt0837562,6.956,7825
tt5095030,6.957,12082
tt0433035,6.963,7250
tt2771200,6.964,14609
tt5884052,6.964,6072
tt0120623,6.965,8306
tt0795421,6.968,5829
tt7713068,6.974,9361
tt9032400,6.977,7045
tt4649466,6.977,9246
tt1179933,6.978,7134
tt6857112,6.978,6512
tt5109784,6.979,6092
tt0458339,6.989,19738
tt5164214,6.989,7541
tt0120903,6.99,10229
tt0462538,6.993,7205
tt0117060,7,7624
tt4160708,7.006,6689
tt0034492,7.007,5062
tt1217209,7.008,12269
tt0116367,7.008,5216
tt0290334,7.022,9137
tt1453405,7.028,9636
tt3464902,7.03,5376
tt0092099,7.032,7265
tt0234215,7.034,9767
tt0042332,7.036,6031
tt0367594,7.038,13538
tt0360486,7.04,6235
tt0467406,7.041,6500
tt0448115,7.042,8456
tt0212720,7.042,5541
tt2277860,7.043,11158
tt1229238,7.052,8809
tt2140479,7.053,5447
tt3531824,7.055,6413
tt1542344,7.063,6809
tt0478970,7.083,18215
tt0087363,7.086,5618
tt1587310,7.09,12215
tt1638355,7.091,5678
tt3799694,7.097,6966
tt0293429,7.098,5199
tt0332452,7.1,9098
tt0298203,7.1,6441
tt1051906,7.1,5074
tt0314331,7.104,5892
tt0032910,7.105,5257
tt3470600,7.111,7253
tt0111257,7.111,5356
tt0029583,7.113,6620
tt1041829,7.113,5947
tt4500922,7.115,6908
tt0363771,7.118,9467
tt1250777,7.118,10718
tt6139732,7.122,9160
tt1045658,7.124,11051
tt1515091,7.127,9518
tt6105098,7.129,9055
tt0217869,7.134,8340
tt1502397,7.149,7399
tt4126476,7.151,7559
tt3450958,7.153,7809
tt8772262,7.159,5754
tt1454468,7.16,14117
tt0162661,7.161,5989
tt0359950,7.165,6897
tt0055254,7.168,5626
tt3263904,7.168,6490
tt0416449,7.169,12473
tt1790864,7.172,15491
tt2381249,7.176,7770
tt0970179,7.177,6577
tt1219289,7.181,9615
tt5433138,7.184,6183
tt1392170,7.189,20149
tt2361509,7.197,5983
tt0480249,7.198,14260
tt0988045,7.199,12871
tt0449088,7.2,12930
tt0119654,7.2,12416
tt0377092,7.2,7676
tt0107614,7.2,5450
tt1596343,7.2,7248
tt0408236,7.202,5316
tt0289043,7.202,5860
tt6723592,7.203,8215
tt0437086,7.21,8129
tt5848272,7.212,6739
tt0829482,7.214,6331
tt0096895,7.215,6853
tt1074638,7.221,14170
tt1323594,7.222,13858
tt0441773,7.224,10148
tt3682448,7.226,6257
tt0298148,7.23,10923
tt2820852,7.232,9658
tt0455944,7.236,7765
tt1396484,7.236,17501
tt0113497,7.237,9547
tt0451279,7.239,18543
tt0316654,7.239,13597
tt4682786,7.243,5044
tt0112864,7.244,5404
tt2294629,7.248,15108
tt5580390,7.25,11237
tt1570728,7.252,7447
tt1156398,7.263,11111
tt0125439,7.264,5372
tt0145487,7.266,16996
tt1022603,7.267,9049
tt7784604,7.267,6522
tt4925292,7.268,7565
tt1024648,7.269,7542
tt0100802,7.278,5049
tt0061852,7.28,5642
tt2395427,7.281,21174
tt1318514,7.283,10516
tt3065204,7.287,7468
tt0945513,7.293,7437
tt1270798,7.294,11676
tt4520988,7.3,8803
tt2488496,7.3,17919
tt0087469,7.3,8024
tt2103281,7.304,10054
tt0372183,7.307,6728
tt4425200,7.308,11350
tt1981677,7.308,6067
tt1119646,7.31,15358
tt2310332,7.314,12916
tt0217505,7.316,5887
tt1772341,7.323,11236
tt0409459,7.326,8189
tt1408101,7.329,8380
tt0362227,7.329,6976
tt0181689,7.332,7707
tt4972582,7.333,15906
tt0903624,7.334,16958
tt1596363,7.335,8021
tt0383574,7.338,14410
tt3183660,7.338,17559
tt0268380,7.341,11905
tt1670345,7.341,14384
tt4777008,7.342,5480
tt0097757,7.347,6942
tt3480822,7.349,8831
tt1285016,7.349,10781
tt2250912,7.35,19878
tt0092890,7.35,5468
tt0119396,7.351,5635
tt1568346,7.357,6263
tt3794354,7.359,8632
tt1446192,7.359,6038
tt1798684,7.36,5036
tt0265086,7.364,5002
tt1649419,7.364,5712
tt0117571,7.38,5785
tt1343092,7.381,11209
tt0936501,7.382,10110
tt0094721,7.382,5913
tt0458352,7.383,10749
tt9419884,7.385,7275
tt3397884,7.386,7539
tt1825683,7.394,20531
tt0454876,7.394,12148
tt0144084,7.394,9257
tt4975722,7.394,6452
tt0335266,7.395,6476
tt0387564,7.396,7998
tt0454848,7.398,5099
tt0120855,7.399,6033
tt6644200,7.4,12647
tt0110148,7.4,5135
tt0401792,7.4,7297
tt4912910,7.401,7103
tt0121766,7.401,12330
tt2911666,7.402,17162
tt0099785,7.403,9812
tt3076658,7.407,6648
tt0077631,7.407,6547
tt1490017,7.41,6990
tt0440963,7.414,6882
tt1136608,7.415,8446
tt1951264,7.421,15738
tt0240772,7.421,10411
tt0099674,7.422,5405
tt0100405,7.424,6987
tt1211837,7.426,20368
tt2382320,7.429,5163
tt0796366,7.431,9090
tt2179136,7.432,11778
tt7131622,7.435,11709
tt3498820,7.44,21004
tt2397535,7.44,5681
tt6146586,7.442,9056
tt0118971,7.449,5184
tt4550098,7.451,6983
tt0258463,7.452,8314
tt3890160,7.456,14210
tt1655441,7.459,5872
tt0446029,7.46,6902
tt5013056,7.46,14966
tt6320628,7.462,13907
tt0087332,7.464,7884
tt2562232,7.469,11872
tt0083944,7.47,5416
tt0139654,7.47,5133
tt0120663,7.475,5251
tt3606756,7.488,11703
tt3748528,7.488,13963
tt0093773,7.491,6926
tt5463162,7.492,15796
tt0099088,7.5,9343
tt0275847,7.506,5452
tt0119282,7.507,6592
tt1517451,7.507,10796
tt0083866,7.508,10143
tt0096438,7.513,5013
tt5580036,7.513,5207
tt2713180,7.514,10688
tt0121164,7.515,7921
tt0089218,7.516,5056
tt0443706,7.517,9182
tt1663202,7.521,16704
tt1877832,7.522,14080
tt0119116,7.524,9622
tt0450259,7.527,6773
tt7349662,7.527,6841
tt8332922,7.53,5287
tt0381061,7.53,9655
tt1856101,7.531,11753
tt1979376,7.532,8765
tt0365748,7.535,7452
tt7069210,7.536,5042
tt4034228,7.536,5217
tt1457767,7.538,10303
tt1605783,7.539,6645
tt0425112,7.546,6681
tt0119177,7.547,5566
tt0120917,7.549,5885
tt0289879,7.549,6632
tt1535109,7.555,6213
tt0119174,7.557,5692
tt0325710,7.561,6072
tt3521164,7.562,11133
tt0147800,7.567,7089
tt0499549,7.569,28909
tt0780504,7.569,11279
tt0470752,7.57,12026
tt1392190,7.573,20433
tt1182345,7.573,5062
tt6264654,7.575,7077
tt1170358,7.575,11909
tt0421715,7.577,11505
tt2543164,7.58,16068
tt6334354,7.585,7207
tt0120363,7.585,12482
tt0398286,7.587,10163
